Emotion,Time Step
sad,27.48
fear,27.52
fear,27.56
sad,27.6
sad,27.64
fear,27.68
sad,27.72
sad,27.76
neutral,27.8
sad,27.84
neutral,27.88
sad,27.88
neutral,27.92
fear,27.96
sad,28.0
fear,28.04
fear,28.08
sad,28.12
sad,28.12
sad,28.16
neutral,28.2
sad,28.24
sad,28.28
sad,28.32
fear,28.36
sad,28.4
sad,28.44
sad,28.48
sad,28.52
sad,28.56
sad,28.6
sad,28.64
sad,28.68
sad,28.72
sad,28.76
fear,28.8
sad,28.84
sad,28.88
sad,28.92
sad,28.96
sad,29.0
sad,29.04
sad,29.08
fear,29.12
sad,29.16
neutral,29.2
angry,29.24
neutral,29.28
neutral,29.32
sad,29.36
neutral,29.4
angry,29.44
angry,29.48
happy,29.84
sad,31.24
sad,31.28
sad,31.32
angry,31.36
angry,31.4
angry,31.44
angry,31.48
angry,31.52
sad,31.56
sad,31.6
angry,31.64
sad,31.68
sad,31.72
sad,31.76
sad,31.8
sad,31.84
sad,31.88
sad,31.92
sad,31.96
sad,32.0
sad,32.04
sad,32.08
sad,32.12
fear,32.16
fear,32.2
sad,32.24
sad,32.24
sad,32.28
sad,32.32
fear,32.36
sad,32.4
sad,32.44
sad,32.48
sad,32.52
sad,32.56
happy,32.6
angry,32.64
happy,32.68
angry,32.72
sad,32.76
sad,32.8
sad,32.84
sad,32.88
sad,32.92
sad,32.96
sad,33.0
angry,33.04
sad,33.08
fear,33.12
sad,33.16
fear,33.2
sad,33.24
sad,33.28
sad,33.32
angry,33.36
happy,33.36
fear,33.4
neutral,33.44
neutral,33.48
neutral,33.52
sad,33.52
neutral,33.56
angry,33.6
neutral,33.64
neutral,33.68
happy,33.72
sad,33.76
neutral,33.8
fear,33.84
neutral,33.88
neutral,33.92
sad,33.96
sad,34.0
sad,34.04
angry,34.08
sad,34.12
angry,34.16
neutral,34.2
angry,34.24
sad,34.28
angry,34.32
angry,34.36
sad,34.4
angry,34.44
sad,34.48
angry,34.52
angry,34.56
angry,34.6
fear,34.64
neutral,34.68
sad,34.72
neutral,34.76
neutral,34.8
neutral,34.84
happy,34.88
sad,34.92
neutral,34.96
