Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,Emotion,y_actual
13400,0,0,0,neutral,
13440,0,0,0,surprise,
13480,0,0,0,neutral,
13520,0,0,0,happy,
13560,0,0,0,neutral,
13600,0,0,0,sad,
13640,0,0,0,surprise,
13680,0,0,0,neutral,
13720,0,0,0,neutral,
13760,0,0,0,neutral,
13800,0,0,0,sad,
13840,0,0,0,neutral,
13880,0,0,0,neutral,
13920,0,0,0,neutral,
13960,0,0,0,neutral,
14000,0,0,0,happy,
14040,0,0,0,happy,
14080,0,0,1,happy,
14120,0,0,0,happy,
14160,0,0,0,happy,
14200,0,0,0,sad,
14240,0,0,0,neutral,
14280,0,0,0,neutral,
14320,0,0,0,angry,
14360,0,0,0,fear,
14400,0,0,0,neutral,
14440,0,0,0,neutral,
14480,0,0,0,neutral,
14520,0,0,1,neutral,
14560,0,0,0,surprise,
14600,0,0,0,angry,
14640,0,0,0,neutral,
14680,0,0,0,neutral,
14720,0,0,0,neutral,
14760,0,0,0,neutral,
14800,0,0,0,sad,
14840,0,0,0,neutral,
14880,0,0,0,neutral,
14920,0,0,0,surprise,
14960,0,0,1,surprise,
15000,0,0,0,neutral,
15040,0,0,0,neutral,
15080,0,0,0,fear,
15120,0,0,0,neutral,
15160,0,0,0,happy,
15200,0,0,0,happy,
15240,0,0,0,neutral,
15280,0,0,0,fear,
15320,0,0,0,neutral,
15360,0,0,0,surprise,
15400,0,0,0,fear,
15440,0,0,0,surprise,
15480,0,0,0,fear,
15520,0,0,0,sad,
15560,0,0,0,neutral,
15600,0,1,0,neutral,
15640,0,1,0,neutral,
15680,0,1,0,neutral,
15720,0,1,0,neutral,
15760,0,1,1,fear,
15800,0,1,0,neutral,
15840,0,1,0,fear,
15880,0,1,0,angry,
15920,0,1,0,fear,
15960,0,1,0,neutral,
16000,0,1,1,neutral,
16040,0,1,0,neutral,
16080,0,1,0,neutral,
16120,0,1,0,neutral,
16160,0,1,0,neutral,
16200,0,1,0,neutral,
16240,0,1,0,neutral,
16280,0,1,0,neutral,
16320,0,1,0,neutral,
16360,0,1,0,sad,
16400,0,1,0,neutral,
16440,0,1,0,neutral,
16480,0,1,0,neutral,
16520,0,1,0,neutral,
16560,0,1,0,neutral,
16600,0,1,0,neutral,
16640,0,1,0,neutral,
16680,0,1,0,neutral,
16720,0,1,0,neutral,
16760,0,1,0,neutral,
16800,0,1,0,neutral,
16840,0,1,0,surprise,
16880,0,0,0,fear,
16920,0,1,0,sad,
16960,0,1,0,neutral,
17000,0,1,0,happy,
17040,0,1,0,sad,
17080,0,1,1,sad,
17120,0,1,0,neutral,
17160,0,1,1,neutral,
17200,0,1,0,surprise,
17240,0,1,0,neutral,
17280,0,1,0,neutral,
17320,0,1,1,neutral,
17360,0,1,1,neutral,
17400,0,1,0,surprise,
17440,0,1,0,neutral,
17480,0,1,0,sad,
17520,0,1,1,neutral,
17560,0,1,1,neutral,
17600,0,1,0,neutral,
17640,0,1,0,surprise,
17680,0,1,0,neutral,
17720,0,1,0,neutral,
17760,0,1,1,sad,
17800,0,1,0,sad,
17840,0,1,0,neutral,
17880,0,1,0,neutral,
17920,0,1,0,neutral,
17960,0,1,1,sad,
18000,0,1,0,neutral,
18040,0,1,0,surprise,
18080,0,1,0,neutral,
18120,0,1,0,sad,
18160,0,1,0,sad,
18200,0,1,0,sad,
18240,0,1,0,neutral,
18280,0,1,0,neutral,
18320,0,1,0,angry,
18360,0,1,0,fear,
18400,0,1,0,surprise,
18440,0,1,0,fear,
18480,0,1,0,surprise,
18520,0,1,0,surprise,
18560,0,1,0,surprise,
18600,0,1,0,surprise,
18640,0,1,1,sad,
18680,0,1,0,sad,
18720,0,0,0,fear,
18760,0,0,0,sad,
18800,0,0,0,sad,
18840,0,0,0,sad,
18880,0,0,1,sad,
18920,0,0,0,sad,
18960,0,0,0,sad,
19000,0,0,0,angry,
19040,0,1,0,sad,
19080,0,0,0,sad,
19120,0,0,0,surprise,
19160,0,0,0,happy,
19200,0,1,0,sad,
19240,0,1,0,sad,
19280,0,1,0,sad,
19320,0,1,0,sad,
19360,0,1,0,neutral,
19400,0,1,0,neutral,
19440,0,1,0,sad,
19480,0,1,1,sad,
19520,0,1,0,sad,
19560,0,1,0,sad,
19600,0,1,0,sad,
19640,0,1,0,sad,
19680,0,1,0,neutral,
19720,0,1,0,angry,
19760,0,1,0,angry,
19800,0,1,0,sad,
19840,0,1,0,sad,
19880,0,1,0,sad,
19920,0,1,1,sad,
19960,0,1,0,sad,
20000,0,1,0,neutral,
20040,0,1,0,sad,
20080,0,1,0,happy,
20120,0,1,0,neutral,
20160,0,1,0,happy,
20200,0,1,0,happy,
20240,0,1,0,angry,
20280,0,1,0,sad,
20320,0,1,0,happy,
20360,0,1,0,happy,
20400,0,1,0,sad,
20440,0,1,0,happy,
20480,0,1,0,happy,
20520,0,1,0,happy,
20560,0,1,0,happy,
20600,0,1,0,happy,
20640,0,1,0,happy,
20680,0,1,0,sad,
20720,0,1,0,happy,
20760,0,1,0,angry,
20800,0,1,0,angry,
20840,0,1,0,angry,
20880,0,1,0,fear,
20920,0,0,0,happy,
20960,0,1,0,happy,
21000,0,1,1,happy,
21040,0,1,1,happy,
21080,0,1,1,happy,
21120,0,1,0,happy,
21160,0,1,0,happy,
21200,0,1,0,happy,
21240,0,1,1,happy,
21280,0,1,1,happy,
21320,0,1,0,happy,
21360,0,1,0,happy,
21400,0,1,0,happy,
21440,0,1,1,happy,
21480,0,1,1,sad,
21520,0,1,0,happy,
21560,0,1,0,happy,
21600,0,1,0,happy,
21640,0,1,0,neutral,
21680,0,1,0,happy,
21720,0,1,0,happy,
21760,0,1,0,happy,
21800,0,1,0,happy,
21840,0,1,1,happy,
21880,0,1,0,happy,
21920,0,1,0,sad,
21960,0,1,0,sad,
22000,0,1,0,happy,
22040,0,1,0,happy,
22080,0,1,1,happy,
22120,0,1,0,sad,
22160,0,1,0,angry,
22200,0,1,0,angry,
22240,0,1,0,angry,
22280,0,1,0,angry,
22320,0,1,0,angry,
22360,0,1,0,angry,
22400,0,1,0,angry,
22440,0,1,0,angry,
22480,0,1,0,angry,
22520,0,1,0,neutral,
22560,0,1,0,happy,
22600,0,0,0,sad,
22640,0,1,0,neutral,
22680,0,0,0,happy,
22720,0,1,0,sad,
22760,0,1,0,happy,
22800,0,0,0,angry,
22840,0,0,0,sad,
22880,0,0,0,fear,
22920,0,0,0,sad,
22960,0,0,0,neutral,
23000,0,0,0,happy,
23040,0,0,0,neutral,
23080,0,0,0,sad,
23120,0,0,0,surprise,
23160,0,0,1,neutral,
23200,0,0,0,sad,
23240,0,0,0,sad,
23280,0,0,0,sad,
23320,0,0,0,sad,
23360,0,0,0,sad,
23400,0,0,0,sad,
23440,0,0,0,angry,
23480,0,0,0,sad,
23520,0,0,0,sad,
23560,0,0,0,sad,
23600,0,0,0,sad,
23640,0,0,0,sad,
23680,0,0,0,sad,
23720,0,0,0,sad,
23760,0,0,0,sad,
23800,0,0,0,sad,
23840,0,0,0,angry,
23880,0,0,0,angry,
23920,0,0,0,sad,
23960,0,0,0,angry,
24000,0,0,0,angry,
24040,0,0,1,sad,
24080,0,0,0,angry,
24120,0,0,0,sad,
24160,0,0,0,sad,
24200,0,0,1,sad,
24240,0,0,0,angry,
24280,0,0,0,angry,
24320,0,0,0,neutral,
24360,0,1,0,sad,
24400,0,1,0,happy,
24440,0,1,0,neutral,
24480,0,1,1,neutral,
24520,0,1,0,fear,
24560,0,1,1,sad,
24600,0,1,0,sad,
24640,0,1,0,sad,
24680,0,1,0,sad,
24720,0,1,0,angry,
24760,1,1,0,fear,
24800,1,1,0,sad,
24840,1,1,0,fear,
24880,1,1,0,fear,
24920,0,1,1,fear,
24960,0,1,0,fear,
25000,0,1,0,fear,
25040,0,1,0,fear,
25080,0,1,1,surprise,
25120,0,1,0,happy,
25160,0,1,0,neutral,
25200,0,1,0,happy,
25240,0,1,0,angry,
25280,0,1,0,angry,
25320,0,1,0,angry,
25360,0,1,0,angry,
25400,0,1,0,angry,
25440,0,0,0,sad,
25480,1,1,0,sad,
25520,1,1,0,sad,
25560,1,1,0,sad,
25600,1,0,0,sad,
25640,1,1,0,sad,
25680,1,1,0,sad,
25720,1,1,0,sad,
25760,1,0,0,sad,
25800,1,0,0,sad,
25840,1,0,0,sad,
25880,1,0,0,sad,
25920,1,0,0,sad,
25960,1,1,0,happy,
26000,1,1,0,fear,
26040,1,1,0,fear,
26080,1,1,0,fear,
26120,1,1,0,fear,
26160,1,1,0,surprise,
26200,1,1,0,surprise,
26240,1,1,0,surprise,
26280,1,1,0,surprise,
26320,1,1,0,surprise,
26360,1,0,0,surprise,
26400,1,0,0,surprise,
26440,1,0,0,neutral,
26480,1,0,0,sad,
26520,1,0,0,sad,
26560,1,0,0,sad,
26600,1,0,0,sad,
26640,1,0,0,sad,
26680,1,0,0,neutral,
26720,1,0,0,neutral,
26760,1,0,0,sad,
26800,1,0,0,neutral,
26840,1,0,0,sad,
26880,1,0,0,sad,
26920,1,0,0,sad,
26960,0,0,0,sad,
27000,1,0,0,sad,
27040,0,0,0,sad,
27080,1,0,0,sad,
27120,0,0,0,sad,
27160,0,0,0,sad,
27200,1,0,0,sad,
27240,0,0,0,neutral,
27280,0,0,0,angry,
27320,0,0,0,sad,
27360,1,0,0,sad,
27400,0,0,0,sad,
27440,1,0,0,sad,
27480,0,0,0,sad,
27520,0,0,0,sad,
27560,0,0,0,sad,
27600,1,0,0,sad,
27640,0,0,0,sad,
27680,0,0,0,sad,
27720,0,0,0,sad,
27760,0,0,0,neutral,
27800,0,0,0,sad,
27840,0,0,0,sad,
27880,0,0,0,sad,
27920,0,0,0,happy,
27960,0,0,0,happy,
28000,0,0,0,sad,
28040,1,0,0,sad,
28080,0,0,0,sad,
28120,0,0,0,sad,
28160,1,0,0,neutral,
28200,1,0,0,sad,
28240,1,0,0,sad,
28280,1,0,0,sad,
28320,1,0,0,angry,
28360,1,0,0,sad,
28400,0,0,0,sad,
28440,1,0,0,neutral,
28480,1,0,0,sad,
28520,0,0,0,angry,
28560,0,0,0,neutral,
28600,0,0,0,neutral,
28640,0,0,0,neutral,
28680,1,0,0,sad,
28720,1,0,0,neutral,
28760,1,0,0,sad,
28800,1,0,0,happy,
28840,1,0,0,neutral,
28880,1,0,0,neutral,
28920,1,0,0,sad,
28960,1,0,0,neutral,
29000,1,0,0,sad,
29040,1,0,0,sad,
29080,1,0,0,sad,
29120,1,0,0,sad,
29160,1,0,0,sad,
29200,1,0,0,fear,
29240,0,0,0,sad,
29280,1,0,0,sad,
29320,1,1,0,sad,
29360,0,1,0,angry,
29400,1,1,0,sad,
29440,1,1,0,sad,
29480,1,1,0,sad,
29520,1,1,0,angry,
29560,1,0,0,neutral,
29600,1,1,0,angry,
29640,1,0,0,sad,
29680,1,0,0,sad,
29720,1,0,0,sad,
29760,1,0,0,sad,
29800,1,1,0,angry,
29840,1,1,0,sad,
29880,1,1,0,sad,
29920,1,0,0,sad,
29960,1,0,0,sad,
30000,1,0,0,sad,
30040,1,0,0,surprise,
30080,0,0,0,sad,
30120,0,0,0,neutral,
32760,1,0,0,angry,
32800,1,1,0,sad,
32840,0,1,0,neutral,
32880,0,1,0,angry,
32920,0,1,0,neutral,
32960,0,1,0,neutral,
